# Scalar ASCII output created by CarpetIOScalar
# created on nid12008 by elihu on May 01 2017 at 06:59:11-0500
# parameter filename: "/scratch/sciteam/elihu/simulations/J0040_N40/output-0013/J0040_N40.par"
# Build ID: build-sim-h2ologin2.ncsa.illinois.edu-elihu-2016.12.02-22.38.15-4497
# Simulation ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
# Run ID: run-J0040_N40-nid12008-elihu-2017.05.01-11.54.09-18729
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
882944 1489.968 26645301.5683827 26220922.4326846 26228358.5010886
883200 1490.4 37820270.0358054 37644880.3813877 37704035.4646518
883456 1490.832 37497605.9952201 37720743.847218 34910852.149786
883712 1491.264 26435203.7254445 25997410.8301464 inf
883968 1491.696 37788846.2905931 37618706.2972733 37685071.9435075
884224 1492.128 37384494.500989 37639178.8973524 34829297.6766261
884480 1492.56 26138465.1565343 25537865.0675564 inf
884736 1492.992 37243859.3234063 36848723.4061208 36954583.5111817
884992 1493.424 inf 36756851.3017377 33873760.0840713
885248 1493.856 inf 24552153.0982564 inf
885504 1494.288 30462606.5887737 29905842.2925738 29985289.7370382
885760 1494.72 inf 27900376.0017533 25923162.2163547
886016 1495.152 inf 23618989.093521 inf
886272 1495.584 30328221.1946795 29765462.833074 29829702.5242917
886528 1496.016 inf 14967987.0267284 14643966.1159054
886784 1496.448 inf 22592987.2967766 inf
887040 1496.88 22407484.2010979 21733677.797523 inf
887296 1497.312 13561963.4619425 13329638.0720415 inf
887552 1497.744 18744672.2656634 18168202.6403349 inf
887808 1498.176 17147264.8333662 16601789.0049009 inf
888064 1498.608 12542617.0748902 12298018.876638 inf
888320 1499.04 17785733.0984079 17185711.3973799 inf
888576 1499.472 9790646.27327016 9213514.95162288 inf
888832 1499.904 11955637.2192056 11703299.0957773 inf
889088 1500.336 11737785.3873419 11357740.8280652 inf
889344 1500.768 9706491.14845159 9155542.95380486 inf
889600 1501.2 11354632.7817115 11093756.3761801 11200387.2199939
889856 1501.632 11336669.5307341 10956262.9042119 inf
890112 1502.064 9577503.56933444 9038005.41876838 inf
890368 1502.496 10659251.8114261 10389538.9689197 10499917.1439588
890624 1502.928 10511592.7721605 10107168.3244965 inf
890880 1503.36 9312164.93002009 8773567.26953647 inf
891136 1503.792 10200655.9325593 9928639.05121869 10037416.602729
891392 1504.224 9629117.47368546 9196196.74936833 inf
891648 1504.656 8946895.71681845 8413225.97889171 inf
891904 1505.088 9214205.04420432 8924192.19167203 9036176.74394489
892160 1505.52 8517914.00326501 8036805.98288633 inf
892416 1505.952 8574267.41259618 8054905.23912511 inf
892672 1506.384 8292943.51123321 7980325.36158933 8097874.58196303
892928 1506.816 7870760.81995544 7360135.25940907 inf
893184 1507.248 8341076.16002862 7831605.02424099 inf
893440 1507.68 8129699.82858147 7815048.52867307 7936832.39928629
893696 1508.112 7935515.69284482 7427628.1733198 7391449.24705523
893952 1508.544 8396227.85924882 7919694.26269332 8362973.00068091
894208 1508.976 8105508.62399828 7841218.04631699 7952082.70372604
894464 1509.408 7584158.61786605 7089216.88830335 7047493.32492351
894720 1509.84 8010526.34328368 7605035.74068081 8022497.37022879
894976 1510.272 7615445.28981312 7363734.76200976 7506681.93330685
895232 1510.704 7346878.06086009 6865538.50572237 6827806.80118555
895488 1511.136 7772023.64040055 7399187.66129486 7826408.25358649
895744 1511.568 7475616.5008451 7225314.26160921 7375111.93285664
896000 1512 7084177.16736584 6620168.58682709 6598858.99624298
896256 1512.432 7418412.36436122 7130537.86101572 7576835.68595129
896512 1512.864 7185331.39206657 6985263.35218205 7139300.47993668
896768 1513.296 6825585.63662163 6406307.82338969 6387034.93483496
897024 1513.728 7150637.82793534 6904533.176103 7366474.9974932
897280 1514.16 6914961.27736636 6760409.79696632 6919124.93599343
897536 1514.592 6539557.61182936 6166393.60885581 6142983.93397376
897792 1515.024 6751559.61786592 6566734.83045163 7047573.44957757
898048 1515.456 6544675.21314976 -nan 6611072.11993114
898304 1515.888 6133569.67366379 -nan 5811314.64386541
898560 1516.32 6811140.32133892 6422932.13288309 6822395.40736184
898816 1516.752 6683116.23970268 -nan 6433223.53617824
899072 1517.184 5735191.74033895 -nan 5535078.05622501
899328 1517.616 6721327.00637471 6156431.777068 6576825.75966387
899584 1518.048 4228511.24728963 inf 3533819.15382194
899840 1518.48 3933304.19948406 inf 3794583.95063973
900096 1518.912 3895772.42475764 2978368.71889426 2735571.50660874
900352 1519.344 3795982.3636314 inf 3119198.50901396
900608 1519.776 3412558.92013335 inf 3322835.67028987
900864 1520.208 3770612.85296458 2885758.43375942 2630231.29233995
901120 1520.64 3581391.35040302 inf 2714357.19801319
901376 1521.072 3349416.2017138 3274616.86602192 3056039.13852913
901632 1521.504 inf inf 2106498.22346332
901888 1521.936 3311827.44378044 inf 2390771.87374889
902144 1522.368 3076065.6874534 3010264.23632942 2816234.23387369
902400 1522.8 inf inf 1841233.90589114
902656 1523.232 3014680.19713855 inf 2054821.4492513
902912 1523.664 2912968.99676744 2838025.21953662 2675989.20485406
903168 1524.096 inf inf 1730388.33553955
903424 1524.528 2976809.4906441 inf 2053447.50541574
903680 1524.96 2912801.35627626 2827791.45612747 2690706.97254275
903936 1525.392 inf inf 1687621.44332375
